pl_name,st_teff,st_rad,st_mass
HD 97048 b,10000,2.25,2.4
Kepler-1115 b,9578,2.2,2.22
Kepler-1115 b,9565,2.29,2.33
Kepler-1115 b,9565,2.29,2.33
Kepler-1115 b,9565,2.29,2.33
Kepler-1115 b,9565,2.29,2.33
WASP-178 b,9360,1.67,2.07
KOI-13 b,9107,3.03,2.47
KOI-13 b,9107,3.03,2.47
KOI-13 b,9107,3.03,2.47
KOI-13 b,9107,3.03,2.47
KOI-13 b,9071,2.7,2.27
KELT-20 b,8980,1.6,1.89
KOI-13 b,8848,2.44,1.83
HIP 65426 b,8840,1.77,1.96
Kepler-1115 b,8838,1.81,2.22
Kepler-1115 b,8838,1.81,2.22
HIP 78530 b,8738,2.11,2.19
KELT-20 b,8720,1.56,1.76
WASP-178 b,8640,1.8,1.93
KOI-13 b,8511,1.76,2.05
KOI-13 b,8482,2,1.67
Kepler-1115 b,8480,1.73,1.6
HAT-P-70 b,8450,1.86,1.89
Kepler-340 b,8241,3.18,2.05
Kepler-340 b,8241,3.18,2.05
Kepler-340 b,8241,3.18,2.05
Kepler-340 c,8241,3.18,2.05
Kepler-340 c,8241,3.18,2.05
Kepler-340 c,8241,3.18,2.05
Kepler-340 c,8229,2.83,2.09
bet Pic b,8038.68,1.54,1.95
bet Pic b,8038.68,1.54,1.95
bet Pic b,8038.68,1.54,1.95
bet Pic b,8038.68,1.54,1.95
HATS-70 b,7930,1.88,1.78
Kepler-340 c,7852.93,1.47,1.87
MASCARA-4 b,7800,1.92,1.75
Kepler-462 b,7735,1.62,1.82
Kepler-462 b,7735,1.62,1.82
Kepler-462 c,7735,1.62,1.82
Kepler-462 b,7717,2.64,1.97
Kepler-462 b,7717,2.3,1.97
Kepler-462 b,7717,2.64,1.97
Kepler-462 b,7717,2.64,1.97
Kepler-462 c,7717,2.64,1.97
Kepler-462 c,7717,2.64,1.97
Kepler-462 c,7717,2.64,1.97
Kepler-462 b,7713,2.52,1.86
Kepler-462 c,7713,2.52,1.86
KOI-13 b,7650,1.71,1.72
KOI-13 b,7650,1.74,1.72
KELT-21 b,7598,1.64,1.46
HD 95086 b,7595,1.49,1.77
HD 95086 b,7595,1.49,1.77
HAT-P-46 b,7587,1.4,1.76
